ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://seco.tkk.fi/saha3/uadd4cb5f-8dce-4adb-9ab3-ebdc41b77a0e,Eva ja Adam - rakkaat viholliset,2000,Tammi,"Gahrton, Måns",swe,romaanit
http://data.kirjasampo.fi/physicalWork_951882035X,Eväsretkellä,2000,Kustannus-Mäkelä,"Worrall, Linda",fin,kuvakirjat
http://seco.tkk.fi/saha3/udc3ecdf3-e186-415d-b44c-f32c926bf1fd,Felix ja rahan lumo,2000,WSOY,"Piper, Nikolaus",deu,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175945922438,Fergusonin tapaus,2000,Book Studio,"MacDonald, Ross",eng,romaanit
http://seco.tkk.fi/saha3/ude0bc7ea-3612-4a5f-84ec-fd6d39f75bb5,Fiesolen puutarhat 2,2000,Kopijyvä,"Jäppinen, Jussi",fin,sarjakuva-albumit
http://data.kirjasampo.fi/physicalWork_9521608099,Franklin ei saa unta,2000,Lasten Parhaat Kirjat,"Bourgeois, Paulette",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9515672201,Franklin saa pikkusiskon,2000,Tammi,"Bourgeois, Paulette",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9513117480,Franklin sairaalassa,2000,Tammi,"Clark, Brenda",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9515672066,Franklin toimii oikein,2000,Lasten Parhaat Kirjat,"Bourgeois, Paulette",eng,kuvakirjat
http://seco.tkk.fi/saha3/u5e88179e-6e84-4ac6-a054-e29850fdf21d,Gae Bolga,2000,Karisto,"Holopainen, Anu",fin,romaanit
http://www.yso.fi/onto/kaunokki#Gagarin_kinoksessa,Gagarin kinoksessa,2000,WSOY,"Skiftesvik, Joni",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175947567910,Generation P,2000,Tammi,"Pelevin, Viktor",rus,romaanit
http://data.kirjasampo.fi/physicalWork_9510247383,Haihullu Mikke,2000,WSOY,Griff,eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123747190649382,"Haku päällä, Antonia!",2000,Aika,"Breunig, Eva",deu,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123747190653591,Hakusana rakkaus,2000,Otava,"Grossman, David",heb,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123747190673142,Haluton todistaja,2000,WSOY,"Hoag, Tami",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123747190674755,Hamaca,2000,WSOY,Pelle Miljoona,fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12374719068092,Hanat auki!,2000,Tampere University Press,"Hosiaisluoma, Yrjö",fin,vitsit ja kaskut 
http://www.yso.fi/onto/kaunokki#Instance_ID123747190686022,Hanhivaara ja sateisen saaren tappaja,2000,WSOY,"Kirstilä, Pentti",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123747190694982,Hannibal,2000,Gummerus,"Harris, Thomas",eng,romaanit
http://seco.tkk.fi/saha3/ub5afa46d-6aa1-453d-8d50-ccc52f7a59fd,Harakan kirpputori ja muita loruja,2000,Kirjalito,"Koljonen, Eeva",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123747190716234,Harhaileva tähti,2000,Otava,"Le Clézio, J. M. G.",fra,romaanit
http://seco.tkk.fi/saha3/u5e89d0ed-685e-4ce1-9910-561f1303b1fb,Harmaaviirullinen Silli,2000,Tammi,"Mikkanen, Raili",fin,romaanit
http://seco.tkk.fi/saha3/uf9ec98cf-1855-4de9-a497-166a0c3a334f,Harrin seikkailupäivä,2000,Kustannus-Mäkelä,"Powling, Chris",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123747190751852,Harry Potter ja Azkabanin vanki,2000,Tammi,"Rowling, J. K.",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9518739714,Hassu hanhi,2000,Kustannus-Mäkelä,"Oram, Hiawyn",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9510247413,"Hauskaa joulua, Maisa",2000,WSOY,"Cousins, Lucy",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175950124617,Havannanlahti,2000,WSOY,"Smith, Martin Cruz",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175950231148,Havun takana,2000,WSOY,"Kellokumpu, Helmi",fin,novellikokoelmat
http://data.kirjasampo.fi/physicalWork_951283376X,"Hei hei, vaipat, tervetuloa potta",2000,Kirjalito,"Wyllyams, Beth",eng,kuvakirjat
